"feedname","eventname","timestamp","type","value"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","08/12/2020 20:30:08","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","08/12/2020 23:00:07","domain","leadingpips.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","08/12/2020 23:00:07","domain","mobitel-servis.si"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","08/12/2020 23:00:07","domain","sadiahyat.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","08/12/2020 23:00:07","domain","www.localco.ae"
"CASTALDI-T","ThreatIngestor Event: Twitter-Remcos","09/12/2020 03:00:09","domain","actemviro.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","09/12/2020 03:00:10","domain","clubulvacantei.ro"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","09/12/2020 03:15:10","domain","begadi.ga"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","09/12/2020 09:00:09","domain","8271431043.duckdns.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","09/12/2020 16:15:11","domain","fosterpod.website"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","09/12/2020 23:30:12","domain","killwaterkolonn.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","09/12/2020 23:30:12","domain","razunimorep.online"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","09/12/2020 23:30:13","domain","heavytankmarines.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","09/12/2020 23:30:13","domain","kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","09/12/2020 23:30:13","domain","marinesnotarmy7.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","10/12/2020 01:45:09","domain","jessicaarnold.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","10/12/2020 01:45:09","domain","forrastfoods.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Avemaria","10/12/2020 01:45:11","domain","aogmphregion.org.za"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","10/12/2020 02:00:10","domain","hanmails.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","10/12/2020 09:15:09","domain","8271431043.duckdns.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","10/12/2020 13:00:10","domain","old-book.store"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","10/12/2020 16:45:09","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","10/12/2020 16:45:10","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","10/12/2020 17:00:08","domain","karinepidh.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","10/12/2020 17:15:08","domain","karinepidh.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:09","domain","liual.by"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:09","domain","amgpartyrentals.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:09","domain","collegemonodgagny.fr"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:09","domain","mypolicyguide.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:10","domain","laxmirugnaseva.online"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:11","domain","liual.by"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","10/12/2020 17:15:11","domain","amgpartyrentals.com"
