"id","timestamp","type","value"
"33","28/09/2015 20:31:17","hostname","natco5.no-ip.net"
"33","28/09/2015 20:36:14","hostname","uptime.uae.kim"
"33","28/09/2015 20:31:18","hostname","nazer.zapto.org"
"33","28/09/2015 20:36:21","hostname","google.com.r3irv2ykn0qnd7vr7sqv7kg2qho3ab5tngl5avxi5iimz1jxw9pa9.uae.kim"
"33","28/09/2015 20:31:18","hostname","noredirecto.redirectme.net"
"33","28/09/2015 20:31:19","hostname","ajaxo.zapto.org"
"33","28/09/2015 20:31:19","hostname","nrehcnthrtfmyi.strangled.net"
"33","28/09/2015 20:31:19","hostname","backjadwer.bounceme.net"
"33","28/09/2015 20:31:20","hostname","ns2.negociosdesucesso.info"
"33","28/09/2015 20:31:20","hostname","backop.mooo.com"
"33","28/09/2015 20:31:20","hostname","offeline.webhop.net"
"33","28/09/2015 20:31:21","hostname","bandao.publicvm.com"
"33","28/09/2015 20:31:21","hostname","orango.redirectme.net"
"33","28/09/2015 20:31:21","hostname","bypasstesting.servehalflife.com"
"33","28/09/2015 20:31:22","hostname","redirectlnk.redirectme.net"
"33","28/09/2015 20:31:23","hostname","removalmalware.servecounterstrike.com"
"33","28/09/2015 20:31:23","hostname","cccam.serveblog.net"
"33","28/09/2015 20:31:23","hostname","mailchat.zapto.org"
"33","28/09/2015 20:31:24","hostname","mp4.servemp3.com"
"33","28/09/2015 20:31:24","hostname","cnaci8gyolttkgmguzog.ignorelist.com"
"33","28/09/2015 20:31:25","hostname","rgoyfuadvkebxhjm.ddns.net"
"33","28/09/2015 20:31:25","hostname","cyber18.no-ip.net"
"33","28/09/2015 20:31:25","hostname","rotter2.publicvm.com"
"33","28/09/2015 20:31:26","hostname","deapka.sytes.net"
"33","28/09/2015 20:31:26","hostname","rotter2.sytes.net"
"33","28/09/2015 20:31:26","hostname","depka.sytes.net"
"33","28/09/2015 20:31:27","hostname","safar.selfip.com"
"33","28/09/2015 20:31:27","hostname","dnsfor.dnsfor.me"
"33","28/09/2015 20:31:27","hostname","safara.sytes.net"
"33","28/09/2015 20:31:28","hostname","download.likescandy.com"
"33","28/09/2015 20:31:28","hostname","safari.linkpc.net"
"33","28/09/2015 20:31:29","hostname","downloadlog.linkpc.net"
"33","28/09/2015 20:31:29","hostname","spreng.vizvaz.com"
"33","28/09/2015 20:31:29","hostname","downloadmyhost.zapto.org"
"33","28/09/2015 20:31:30","hostname","su.noip.us"
"33","28/09/2015 20:31:31","hostname","duntat.zapto.org"
"33","28/09/2015 20:31:31","hostname","tango.zapto.org"
"33","28/09/2015 20:31:31","hostname","fastbingcom.sytes.net"
"33","28/09/2015 20:31:32","hostname","test.cable-modem.org"
"33","28/09/2015 20:31:32","hostname","fatihah.zapto.org"
"33","28/09/2015 20:31:32","hostname","test.ns01.info"
"33","28/09/2015 20:31:33","hostname","gaonsmom.redirectme.net"
"33","28/09/2015 20:31:33","hostname","testcom.strangled.net"
"33","28/09/2015 20:31:34","hostname","goodday.zapto.org"
"33","28/09/2015 20:31:34","hostname","thenewupdate.chickenkiller.com"
"33","28/09/2015 20:31:34","hostname","googlecombq6xx.ddns.net"
"33","28/09/2015 20:31:35","hostname","thenewupdatee.redirectme.net"
"33","28/09/2015 20:31:35","hostname","gq4bp1baxfiblzqk.mrbasic.com"
"33","28/09/2015 20:31:35","hostname","tvnew.otzo.com"
"33","28/09/2015 20:31:36","hostname","haartezenglish.redirectme.net"
"33","28/09/2015 20:31:36","hostname","update.ciscofreak.com"
"33","28/09/2015 20:31:36","hostname","haartezenglish.strangled.net"
"33","28/09/2015 20:31:37","hostname","updatee.hopto.org"
"33","28/09/2015 20:31:37","hostname","help2014.linkpc.net"
"33","28/09/2015 20:31:37","hostname","updatee.serveblog.net"
"33","28/09/2015 20:31:38","hostname","httpo.sytes.net"
"33","28/09/2015 20:31:38","hostname","updato.ns01.info"
"33","28/09/2015 20:31:38","hostname","internetdownloadr.publicvm.com"
"33","28/09/2015 20:31:39","hostname","use.mooo.com"
"33","28/09/2015 20:31:39","hostname","justded.justdied.com"
"33","28/09/2015 20:31:39","hostname","wallanews.publicvm.com"
"33","28/09/2015 20:31:40","hostname","kaliob.selfip.org"
"33","28/09/2015 20:31:40","hostname","wallanews.sytes.net"
"33","28/09/2015 20:31:41","hostname","kaswer12.strangled.net"
