"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","ip-dst","193.90.12.121"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","ip-dst","162.241.44.26"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","url","http://x26zc.xyz/V3/five/fre.php"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","domain","x26zc.xyz"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","md5","13df0c6b2cf16a7bfafa5f2df3e0168c"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","url","http://tradesgroups.com/wp-includes/five/fre.php"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","domain","tradesgroups.com"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","md5","8bdbee05e8f38044dfe8258fd71e62c5"
"ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","url","http://ghost00710.ddns.net/1/"
"ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","domain","ghost00710.ddns.net"
