"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:35:18","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:01","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:01","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:01","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:01","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:02","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Hancitor","27/11/2020 11:37:02","sha256","827866089f958b9df535168bc3efed843ee0d769cbe015758d90f9199f7b0d25"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:21","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:22","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:23","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:38:23","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:24","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","6e76bd502c91158631cadf485ce44caa4d6504864735593fc23d90477a794d17"
"ThreatIngestor Event: Twitter-Netwire","27/11/2020 11:41:25","sha256","dc4475e7d864b18f90b1a3b812d6f1e98d46fbb24771405c1b15c9c1cba8a10f"
"ThreatIngestor Event: Twitter-Asyncrat","28/11/2020 02:00:11","sha256","203d3fa9bf0e381fe7313d08c55430d64c65870ab975cf270778d2fcbfd2eb83"
